GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,20,IT,In full-time Education,In or completed higher education,"66,75","58,5","41,75","55,67","58,25",50,"50,25","44,33","83,5","33,5","53,7","33,25","8,25","41,75",0,"20,81","33,25","53,4","33,33","66,75","50,06",67,67,"22,33",50,"51,46"
Male,19,IT,In full-time Education,In or completed higher education,"58,5","83,5","58,5","66,83","66,75","58,5",67,67,"75,25","66,75","66,87",67,"41,5",50,"41,5",50,50,67,"44,33","58,5","57,56","58,5",67,"44,33",67,"59,15"
Male,25,IT,In full-time Education,In or completed higher education,"66,75","91,75","91,75","83,42",75,75,"41,75",67,"83,5","58,25","66,74",75,50,"33,25","41,75",50,"58,5","66,8","55,67",75,"64,94","75,25",100,"44,33","83,5","79,54"
Male,19,IT,In full-time Education,In or completed higher education,33,"58,5",50,"47,17","58,25","41,5","50,25","44,33",67,"33,25","49,3",50,"41,5","41,75","24,75","39,5","41,75","53,4","55,67","58,5","53,83","58,5",50,11,50,41
Male,19,IT,In full-time Education,In or completed higher education,50,"83,5","75,25","69,58","75,25","75,25",33,67,"83,5","58,5","65,35",100,"75,25",67,67,"77,31","58,5","60,2","66,67","50,25","59,44",67,"91,75","55,67","58,5","69,38"
Male,20,IT,In full-time Education,In or completed secondary education,"66,75","91,75","75,25","77,92","91,75","58,5",75,89,"83,5","66,75","76,91","66,75",67,67,67,"66,94",67,"66,8",67,"58,5","65,06",67,67,"55,67","58,5","61,77"
Male,56,IT,In Employment,In or completed higher education,"41,5","41,75",67,"50,08",67,25,50,11,"16,75","8,25","30,48","33,25","8,25","33,25","16,5","22,81","41,5","33,2","33,33","58,5","40,67",33,33,22,33,"30,46"
Female,21,IT,In Employment,In or completed higher education,"41,5",50,"66,75","52,75","58,25",67,"66,75",67,"58,5",50,61,"91,75",33,"41,5",33,"49,81",33,"53,4","44,33","41,5","44,33",50,50,"44,33",50,"48,69"
Female,20,IT,In full-time Education,In or completed higher education,75,"91,75","75,25","80,67","83,25","66,75","66,75","55,67","83,5","33,5","65,3",50,"33,25","58,5","41,5","45,81","58,5","46,8","66,67",75,"63,06","83,5","91,75","44,33","58,25","69,23"
Female,19,IT,In full-time Education,In or completed higher education,"66,75",67,75,"69,58","83,5",67,"58,25","55,67","75,25","33,5","62,48","83,5","58,25",50,"33,25","56,25","50,25","73,4","44,67","58,25","59,39",67,"75,25","44,33","58,5","61,69"
